store,week,brand,sales_,count,price_,prom_,cost_,Hausman
2,1,1,16,14181,3.29,0.0,2.06,3.300641158221303
2,2,1,12,13965,3.27,0.0,2.04,3.29875
2,3,1,6,13538,3.37,0.0,2.15,3.311177520071365
2,4,1,12,13735,3.3,0.0,2.07,3.308675555555556
2,5,1,10,13735,3.34,0.0,2.12,3.298289345063538
2,6,1,13,14553,3.38,0.0,2.17,3.3011494252873566
2,7,1,11,14229,3.32,0.0,2.1,3.303458128078818
2,8,1,9,13890,3.32,0.0,2.09,3.302516556291391
2,9,1,9,13890,3.32,0.0,2.09,3.3121743388834477
2,10,1,8,15164,3.29,0.0,2.08,3.2499179487179486
2,11,1,17,14136,3.31,0.0,2.13,3.286963963963964
2,12,1,10,14561,3.31,0.0,2.12,3.2889152233363714
2,13,1,11,14692,3.3,0.0,2.12,3.2804029304029303
2,14,1,16,15758,3.55,0.0,2.23,3.4584675324675325
2,15,1,4,14936,3.43,0.0,2.11,3.4785055350553504
2,16,1,10,15714,3.56,0.0,2.24,3.5352198852772467
2,17,1,11,16886,3.53,0.0,2.24,3.5219571045576403
2,18,1,11,14249,3.46,0.0,2.18,3.526455445544555
2,19,1,18,14713,2.53,0.78,1.6,2.677281760113556
2,20,1,10,14637,3.58,0.0,2.3,3.4770913884007033
2,21,1,8,16514,3.55,0.0,2.27,3.484927646610815
2,22,1,13,14514,3.5,0.0,2.21,3.5150774526678137
2,23,1,9,14701,3.49,0.0,2.15,3.5229360210341807
2,24,1,10,14854,3.51,0.0,2.2,3.521805183199285
2,25,1,10,15918,3.47,0.0,2.19,3.518541114058355
2,26,1,9,13834,3.54,0.0,2.28,3.5151183172655567
2,27,1,6,13259,3.48,0.0,2.19,3.5130636363636363
2,28,1,6,13259,3.48,0.0,2.19,3.521298932384341
2,29,1,5,13508,3.56,0.0,2.32,3.5164942528735637
2,30,1,9,13798,3.61,0.0,2.34,3.53076058772688
